,cb_totals,cb_total_sectors,cb_entropy
JP_Gunma Prefecture,4.0,10.0,2.2718685126965625
TH_Pathum Thani,1.0,2.0,0.6931471805599453
IR_Sistan and Baluchestan,,,
BR_São Paulo,554.0,276.0,4.917314517362209
ES_Cádiz Province,20.0,37.0,3.4743791278410843
EG_Sohag Governorate,,,
IL_Southern District,45.0,49.0,3.6819597686656422
IN_Punjab,110.0,94.0,3.897852892655142
AR_Buenos Aires Province,37.0,49.0,3.6450333697409505
US_Kansas,943.0,329.0,5.003289980188832
PT_Coimbra District,6.0,9.0,2.0228085294147036
SI_Ljubljana City Municipality,50.0,75.0,4.155973711206181
CL_Los Ríos Region,1.0,3.0,1.0986122886681096
IN_Meghalaya,3.0,3.0,1.0986122886681096
HU_Szeged,3.0,6.0,1.7917594692280547
RU_Nizhny Novgorod Oblast,8.0,17.0,2.833213344056216
RU_Volgograd Oblast,3.0,5.0,1.6094379124341005
RU_Perm Krai,8.0,14.0,2.6156305770275505
ZA_Gauteng,548.0,270.0,4.935627073426442
IT_Province of Venice,17.0,23.0,3.062433267555995
PL_Pomeranian Voivodeship,62.0,99.0,4.371368003919284
PT_Viseu District,5.0,10.0,2.302585092994046
US_Idaho,247.0,188.0,4.810460009762011
GB_Northamptonshire,119.0,119.0,4.455138746275514
FR_Bouches-du-Rhône,141.0,134.0,4.516429284914869
BD_Khulna District,3.0,7.0,1.9061547465398496
TW_Kaohsiung City,9.0,8.0,1.8392967479776603
ES_Albacete Province,9.0,15.0,2.524058077389471
RS_Belgrade,24.0,30.0,3.272991145777969
GB_Belfast city council district,98.0,112.0,4.379180566742982
ES_Asturias,43.0,47.0,3.593283038999481
FI_Uusimaa,692.0,326.0,5.090726572030516
JP_Kagawa Prefecture,1.0,2.0,0.6931471805599453
AR_Buenos Aires,286.0,215.0,4.662014699310446
GB_York,60.0,77.0,4.141090126519047
TR_Samsun Province,3.0,5.0,1.6094379124341005
ES_Salamanca Province,6.0,12.0,2.4583113296830836
US_Texas,7480.0,594.0,5.250681872726005
CN_Shandong,48.0,33.0,3.1020840249045083
MY_Pahang,2.0,3.0,1.0986122886681096
BE_Brussels-Capital Region,211.0,183.0,4.7922483055897285
MT_San Ġwann,1.0,2.0,0.6931471805599453
TH_Songkhla,1.0,1.0,0.0
IE_County Cork,109.0,129.0,4.444879013444323
NG_Rivers State,4.0,4.0,1.3321790402101223
RU_Novosibirsk Oblast,13.0,17.0,2.6015683031684986
BR_Pará,1.0,2.0,0.6931471805599453
BR_Paraíba,9.0,15.0,2.6229962760857912
NL_North Holland,839.0,349.0,5.129841788766422
NG_Lagos,129.0,129.0,4.5353655269243776
DZ_Oran,,,
GB_Sheffield,126.0,102.0,4.274488313815527
GB_Slough,50.0,56.0,3.8468328731961146
IT_Province of Verona,26.0,49.0,3.8170856899981223
FR_Pas-de-Calais,41.0,58.0,3.866557527549314
LV_Ventspils,,,
DE_Saxony-Anhalt,42.0,59.0,3.8988577732798473
GB_Cheshire East,104.0,106.0,4.388459715367816
BD_Dhaka Division,97.0,94.0,4.117004700711671
BR_Santa Catarina,43.0,51.0,3.8120305860492416
IT_Province of Florence,51.0,59.0,3.7679972419804626
FR_Val-de-Marne,68.0,74.0,4.006243288957406
US_New Mexico,425.0,238.0,4.917796976332637
IT_Province of Naples,11.0,26.0,3.223886068491313
EE_Harju County,147.0,177.0,4.839652303369931
IN_Haryana,495.0,259.0,4.88872750593284
IN_Jharkhand,6.0,8.0,2.0794415416798357
IR_Tehran Province,28.0,47.0,3.8179461838583606
BR_Federal District,14.0,29.0,3.29942703091156
KZ_Almaty,7.0,11.0,2.3978952727983707
UG_Kampala District,35.0,45.0,3.6247110757766476
TR_Mersin Province,3.0,5.0,1.6094379124341005
IQ_Nineveh Governorate,,,
ID_Special Region of Yogyakarta,7.0,7.0,1.9061547465398494
ES_Community of Madrid,994.0,365.0,5.008569283450843
GB_Kingston upon Hull,41.0,52.0,3.87023631974652
IS_Reykjavík,146.0,136.0,4.442306523477058
GB_Luton,35.0,40.0,3.5075426592372603
BR_Acre,1.0,1.0,0.0
ET_Tigray Region,,,
FR_Alpes-Maritimes,102.0,97.0,4.186211707381382
JP_Nagano Prefecture,3.0,2.0,0.6931471805599453
CN_Henan,12.0,10.0,2.153532456654254
IN_Delhi,1153.0,349.0,4.953352959403896
DE_Lower Saxony,185.0,146.0,4.5086053278752525
GB_Wokingham,33.0,48.0,3.6630887255428295
SE_Kalmar County,11.0,21.0,3.0149468801795942
BY_Grodno Region,1.0,1.0,0.0
CH_Canton of Bern,165.0,164.0,4.682015880648948
KR_Daegu,2.0,2.0,0.6931471805599453
IQ_Baghdad Governorate,3.0,5.0,1.6094379124341005
GB_London Borough of Islington,7.0,11.0,2.3693821196946763
IT_Province of Varese,27.0,25.0,3.085811660858222
MA_Fès-Boulemane,,,
GB_Bolton,27.0,48.0,3.8345432264998096
EG_Ismailia Governorate,,,
ZA_Free State,3.0,3.0,1.0986122886681096
US_Rhode Island,265.0,205.0,4.834978556660597
GB_City of Westminster,5784.0,583.0,5.253102320097199
US_Maryland,1779.0,407.0,5.0396444083676695
MX_Veracruz,3.0,4.0,1.3862943611198906
MU_Plaines Wilhems District,,,
IT_Province of Catania,5.0,6.0,1.7478680974667573
FI_Ostrobothnia,10.0,11.0,2.274240930731769
IE_County Fingal,28.0,43.0,3.6889817267836684
GR_Epirus Region,,,
IT_Province of Macerata,6.0,12.0,2.441015278026703
MX_Sonora,6.0,11.0,2.3978952727983707
KW_Al Asimah Governorate,8.0,13.0,2.5400363038209806
CN_Hubei,34.0,35.0,3.321007093677721
BG_Sofia City Province,127.0,135.0,4.490911816000178
EG_Aswan Governorate,,,
TR_Balıkesir Province,1.0,1.0,0.0
FR_Indre-et-Loire,12.0,13.0,2.479955520544517
FJ_Central Division,1.0,1.0,0.0
IT_Province of Pavia,9.0,11.0,2.3978952727983707
JP_Kyōto Prefecture,24.0,39.0,3.5320427425059453
PT_Aveiro District,16.0,21.0,2.976138801338436
CO_Bogotá,74.0,91.0,4.264594816583347
US_Arkansas,294.0,179.0,4.708978665007453
ID_Jakarta,163.0,146.0,4.57664512818892
TZ_Arusha Region,5.0,8.0,2.0253262207700677
ES_Balearic Islands,38.0,62.0,3.8435604290503185
AT_Styria,62.0,66.0,3.870525431299115
DE_Schleswig-Holstein,80.0,91.0,4.255091657305716
CH_Canton of Lucerne,37.0,54.0,3.880934982290241
MY_Perak,5.0,9.0,2.197224577336219
TR_Konya Province,4.0,4.0,1.3321790402101223
IT_Province of Modena,34.0,38.0,3.4942607851501837
IN_Tamil Nadu,687.0,287.0,4.719430182113663
US_New Jersey,2856.0,466.0,5.072751087915109
SA_Riyadh Region,49.0,58.0,3.929045087963659
GB_Manchester,336.0,221.0,4.894557070380892
BR_Goiás,8.0,11.0,2.351673301904631
TR_Amasya Province,,,
FI_Northern Ostrobothnia,76.0,91.0,4.217626271663324
NL_Limburg,54.0,72.0,4.042630364627878
SE_Norrbotten County,14.0,22.0,3.0197361271389953
CZ_Olomouc Region,2.0,2.0,0.6931471805599453
LB_Beirut Governorate,46.0,58.0,3.8597698645904455
GR_Peloponnese Region,,,
US_North Dakota,99.0,99.0,4.382817838627137
ES_Region of Murcia,37.0,50.0,3.8088263069812394
FR_Doubs,15.0,26.0,3.2163581335128364
JO_Irbid Governorate,,,
ME_Podgorica Municipality,3.0,8.0,2.0794415416798357
JP_Hokkaidō,9.0,18.0,2.8714761180548676
EG_Monufia Governorate,,,
PK_Khyber Pakhtunkhwa,6.0,9.0,2.1639556568820564
FR_Seine-Maritime,27.0,31.0,3.2608753514559856
GB_Cornwall,44.0,44.0,3.6222748793464046
PL_Silesian Voivodeship,51.0,67.0,3.922554834883483
IN_Assam,4.0,3.0,1.0986122886681096
TH_Nakhon Si Thammarat,,,
IR_Razavi Khorasan Province,2.0,2.0,0.6931471805599453
US_Missouri,614.0,276.0,4.964217881760436
IE_County Donegal,16.0,21.0,2.895270233279544
CA_New Brunswick,44.0,65.0,4.00564508696674
GB_London Borough of Southwark,3.0,3.0,1.0986122886681096
CO_Valle del Cauca Department,8.0,15.0,2.70805020110221
SA_Makkah Region,25.0,38.0,3.5240279165890227
IT_Province of Potenza,1.0,1.0,0.0
IR_Zanjan Province,,,
PH_Metro Manila,1.0,1.0,0.0
FR_Maine-et-Loire,25.0,38.0,3.5034298515005284
NZ_Auckland Region,298.0,225.0,4.941102017698135
TH_Nakhon Ratchasima,,,
GB_Nottingham,152.0,138.0,4.533342923175637
GB_Leeds,246.0,190.0,4.825378044223347
DE_Brandenburg,60.0,81.0,4.075531185314437
IE_County Tipperary,9.0,16.0,2.736339051105066
ES_Las Palmas Province,87.0,84.0,3.989075678827092
AT_Salzburg,24.0,42.0,3.646541338510551
CN_Jiangsu,145.0,100.0,4.048861696354557
TR_Tokat Province,,,
TR_Afyonkarahisar Province,,,
GB_Staffordshire,84.0,82.0,4.166282598775979
KE_Central Province,5.0,8.0,2.0794415416798357
AL_Durrës County,11.0,24.0,3.1239385094381773
CH_Canton of Geneva,248.0,202.0,4.790205111438116
GB_Renfrewshire,17.0,30.0,3.337935207609335
EG_Damietta Governorate,,,
UA_Kharkiv Oblast,27.0,68.0,3.849611142169853
GB_Newcastle upon Tyne,134.0,147.0,4.648925938854926
RU_Altai Republic,,,
MA_Grand Casablanca,1.0,1.0,0.0
TN_Manouba Governorate,,,
LK_Colombo District,58.0,53.0,3.646168422362501
NL_South Holland,464.0,265.0,5.057463068297473
RU_Republic of Karelia,,,
FR_Meurthe-et-Moselle,15.0,20.0,2.886165178199427
AU_Northern Territory,6.0,8.0,2.0794415416798357
GB_Glasgow,183.0,166.0,4.741828350429242
IE_County Dublin,1112.0,375.0,5.008366199224726
US_West Virginia,120.0,105.0,4.274331507285855
RO_Dolj County,,,
BE_East Flanders,162.0,151.0,4.616161509298209
IT_Province of Messina,2.0,4.0,1.3862943611198906
RU_Udmurt Republic,,,
QA_Al Daayen,,,
CN_Guangxi Zhuang Autonomous Region,3.0,4.0,1.3862943611198906
US_Virginia,2805.0,478.0,5.074853140573268
GB_Kent,265.0,180.0,4.790343253967032
FR_Loiret,19.0,31.0,3.390978054967236
KR_North Chungcheong Province,2.0,8.0,2.0794415416798357
JP_Okinawa Prefecture,3.0,3.0,1.0986122886681096
BR_Alagoas,,,
LV_Daugavpils,,,
CN_Shaanxi,18.0,25.0,3.0842961326269087
DE_Saarland,34.0,34.0,3.202367378506567
NL_Utrecht,234.0,182.0,4.635092083270067
IR_Bushehr Province,,,
ES_Navarre,32.0,47.0,3.682934718933839
ES_Alicante Province,26.0,48.0,3.7528261313154845
IR_Mazandaran Province,,,
MY_Sarawak,3.0,3.0,1.0986122886681096
GB_London Borough of Tower Hamlets,5.0,6.0,1.732867951399863
UA_Lviv Oblast,17.0,42.0,3.401986400525298
IT_Province of L'Aquila,6.0,8.0,2.0431918705451206
IT_Province of Udine,8.0,17.0,2.833213344056216
BF_Kadiogo Province,4.0,7.0,1.9061547465398494
TW_Tainan,9.0,9.0,2.098147389135067
FR_Gard,12.0,14.0,2.553237002993714
GB_Suffolk,95.0,97.0,4.317582585608447
EG_Giza Governorate,23.0,44.0,3.6749873725631454
IT_Trentino-South Tyrol,5.0,10.0,2.302585092994046
CZ_Central Bohemian Region,11.0,12.0,2.4583113296830836
AT_Carinthia,21.0,27.0,3.174630287614578
US_South Carolina,769.0,297.0,4.968212344225828
RU_Sakha Republic,2.0,3.0,1.0986122886681096
CA_Nova Scotia,76.0,96.0,4.293757233131289
RU_Ulyanovsk Oblast,5.0,11.0,2.3383717048035724
MX_Nuevo León,37.0,47.0,3.608213076571094
TR_Kırklareli Province,1.0,1.0,0.0
MY_Kuala Lumpur,159.0,144.0,4.585923412310663
GB_Swindon,55.0,76.0,4.205180880036235
IE_County Galway,5.0,7.0,1.9459101490553132
GB_South Gloucestershire,6.0,10.0,2.302585092994046
MY_Perlis,,,
GB_Surrey,435.0,261.0,4.924278847560858
EG_Dakahlia Governorate,,,
MX_Hidalgo,,,
TR_Manisa Province,3.0,1.0,0.0
GB_Bath and North East Somerset,62.0,89.0,4.270247303173271
PT_Lisbon District,182.0,159.0,4.557986695283985
RU_Tomsk Oblast,4.0,9.0,2.197224577336219
NO_Vestfold,14.0,20.0,2.978508420527238
PL_Lubusz Voivodeship,10.0,25.0,3.1760828146595923
GB_Essex,185.0,145.0,4.638560219790085
GB_Bristol,227.0,183.0,4.827851509206194
CN_Xinjiang,2.0,4.0,1.3862943611198906
AU_Australian Capital Territory,56.0,69.0,4.034077450073774
MX_México,31.0,44.0,3.7396831562868713
US_Connecticut,1437.0,403.0,5.10303130591798
CO_Bolívar Department,3.0,4.0,1.3862943611198906
CN_Anhui,14.0,22.0,3.052520501533814
JP_Tokushima Prefecture,2.0,4.0,1.3862943611198906
IN_Gujarat,614.0,245.0,4.461205984145711
US_Delaware,413.0,256.0,5.027392361407446
ES_Zaragoza Province,51.0,74.0,4.069490180290948
KR_North Gyeongsang Province,12.0,20.0,2.9785084205272376
EG_Asyut Governorate,1.0,1.0,0.0
RU_Primorsky Krai,1.0,9.0,2.1972245773362196
TR_Bartın Province,,,
KR_Gangwon Province,3.0,5.0,1.6094379124341005
BR_Maranhão,5.0,6.0,1.7478680974667573
PE_Lima Province,53.0,67.0,4.042745589899853
IR_Kerman Province,,,
IN_Himachal Pradesh,5.0,14.0,2.6390573296152584
IT_Province of Cosenza,2.0,7.0,1.945910149055313
JP_Aichi Prefecture,14.0,13.0,2.3992042962026154
MK_Butel Municipality,,,
IT_Province of Teramo,2.0,3.0,1.0397207708399179
CN_Shanxi,5.0,8.0,2.0794415416798357
JP_Shimane Prefecture,,,
NZ_Southland Region,,,
GB_London Borough of Newham,2.0,2.0,0.6365141682948128
AU_New South Wales,1586.0,416.0,5.188032546964837
SE_Västernorrland County,18.0,33.0,3.423452352430968
GB_Fife,19.0,23.0,3.0624332675559947
DE_Hesse,335.0,216.0,4.827507894242457
TR_Düzce Province,,,
EG_Qalyubia Governorate,,,
GB_Bournemouth,,,
GB_Cambridgeshire,327.0,217.0,4.677387773579863
EE_Tartu County,25.0,51.0,3.692661240790019
JP_Ehime Prefecture,,,
VN_Hanoi,81.0,86.0,4.124263226399599
DE_Thuringia,49.0,46.0,3.4640426970246647
FR_Moselle,11.0,16.0,2.718473401330013
MX_Jalisco,30.0,50.0,3.8404629330250617
AE_Abu Dhabi Emirate,56.0,69.0,4.087903784502556
MA_Marrakesh-Tensift-El Haouz,4.0,8.0,2.0431918705451206
FR_Haute-Garonne,116.0,119.0,4.398412707808596
GB_East Sussex,61.0,82.0,4.2550306799401545
FR_Somme,10.0,17.0,2.798513256943294
IT_Province of Enna,,,
JP_Fukushima Prefecture,1.0,2.0,0.6931471805599453
CN_Jilin,4.0,4.0,1.3321790402101223
SE_Östergötland County,64.0,77.0,3.9580096819654402
KZ_Astana,3.0,6.0,1.791759469228055
NO_Akershus,14.0,16.0,2.7255503958317213
CH_Ticino,64.0,74.0,3.993339698364053
UA_Luhansk Oblast,,,
NZ_Otago Region,26.0,45.0,3.6990213651320367
IR_Isfahan Province,,,
DE_Saxony,133.0,127.0,4.3929370188189605
IR_Ardabil Province,,,
FR_Hérault,70.0,90.0,4.26732941154407
SA_Tabuk Region,,,
CO_Antioquia Department,27.0,37.0,3.5485824223764606
PH_Laguna,2.0,5.0,1.5607104090414063
GB_Bradford,51.0,61.0,3.923692383170456
FR_Oise,17.0,23.0,3.044390228115838
GB_Derbyshire,67.0,58.0,3.8435945515187275
JO_Madaba Governorate,,,
CZ_Plzeň-City District,8.0,9.0,2.163955656882057
FR_Seine-et-Marne,43.0,50.0,3.592703914282564
GB_Norfolk,119.0,125.0,4.60014751866252
GB_Birmingham,226.0,183.0,4.771465204946383
GB_Hertfordshire,291.0,204.0,4.861359793793358
GE_Tbilisi,11.0,17.0,2.7877881193860077
FR_Vienne,4.0,9.0,2.1639556568820564
TR_Adıyaman Province,,,
ZA_Eastern Cape,6.0,7.0,1.9061547465398494
KR_South Jeolla Province,2.0,7.0,1.9459101490553132
KR_Seoul,584.0,258.0,4.734497288415415
US_Wisconsin,1220.0,349.0,5.048809955992379
GR_West Macedonia Region,,,
AU_Western Australia,339.0,195.0,4.777999061280827
MX_Colima,1.0,2.0,0.6931471805599453
GB_Devon,73.0,77.0,4.156817659607626
SI_Koper City Municipality,3.0,4.0,1.3862943611198906
CN_Jiangxi,3.0,7.0,1.9061547465398494
GB_West Sussex,168.0,144.0,4.611524346114549
JP_Kōchi Prefecture,,,
KR_Ulsan,1.0,,
IT_Province of Chieti,3.0,5.0,1.6094379124341005
SA_'Asir Region,,,
GB_Portsmouth,1.0,3.0,1.0986122886681096
DZ_Sétif Province,1.0,1.0,0.0
